Model,Training set size (s),replicate_num,Window Size,variable,value,Post-processing,Metric
ConvTemporalConvNet,1800.0,4,176,precision,75.89340806007385,False,Precision (%)
ConvTemporalConvNet,1800.0,5,176,precision,82.21473097801208,False,Precision (%)
ConvTemporalConvNet,1800.0,1,1000,precision,88.29031586647034,False,Precision (%)
ConvTemporalConvNet,1800.0,2,1000,precision,87.45471239089966,False,Precision (%)
ConvTemporalConvNet,1800.0,3,1000,precision,87.35713362693787,False,Precision (%)
ConvTemporalConvNet,1800.0,4,1000,precision,86.11756563186646,False,Precision (%)
ConvTemporalConvNet,1800.0,5,1000,precision,87.55635023117065,False,Precision (%)
ConvTemporalConvNet,1800.0,1,2000,precision,89.5159363746643,False,Precision (%)
ConvTemporalConvNet,1800.0,2,2000,precision,88.29746842384338,False,Precision (%)
ConvTemporalConvNet,1800.0,3,2000,precision,88.88794779777527,False,Precision (%)
ConvTemporalConvNet,1800.0,4,2000,precision,89.06678557395935,False,Precision (%)
ConvTemporalConvNet,1800.0,5,2000,precision,86.40053272247314,False,Precision (%)
ConvTemporalConvNet,1800.0,1,4000,precision,90.3980016708374,False,Precision (%)
ConvTemporalConvNet,1800.0,2,4000,precision,89.77420926094055,False,Precision (%)
ConvTemporalConvNet,1800.0,3,4000,precision,89.45132493972778,False,Precision (%)
ConvTemporalConvNet,1800.0,4,4000,precision,90.32667875289916,False,Precision (%)
ConvTemporalConvNet,1800.0,5,4000,precision,88.72349262237549,False,Precision (%)
TweetyNet,1800.0,1,64,precision_tfm,92.65711307525636,True,Precision (%)
TweetyNet,1800.0,2,64,precision_tfm,92.60631203651428,True,Precision (%)
TweetyNet,1800.0,3,64,precision_tfm,91.75629019737244,True,Precision (%)
TweetyNet,1800.0,4,64,precision_tfm,92.28472709655762,True,Precision (%)
TweetyNet,1800.0,5,64,precision_tfm,93.04942488670348,True,Precision (%)
TweetyNet,1800.0,1,176,precision_tfm,95.41096687316896,True,Precision (%)
TweetyNet,1800.0,2,176,precision_tfm,94.14820671081544,True,Precision (%)
TweetyNet,1800.0,3,176,precision_tfm,95.0193464756012,True,Precision (%)
TweetyNet,1800.0,4,176,precision_tfm,94.02300119400024,True,Precision (%)
TweetyNet,1800.0,5,176,precision_tfm,94.3859040737152,True,Precision (%)
TweetyNet,1800.0,1,1000,precision_tfm,95.56493163108826,True,Precision (%)
TweetyNet,1800.0,2,1000,precision_tfm,93.52410435676576,True,Precision (%)
TweetyNet,1800.0,3,1000,precision_tfm,95.90948224067688,True,Precision (%)
TweetyNet,1800.0,4,1000,precision_tfm,92.88541674613951,True,Precision (%)
TweetyNet,1800.0,5,1000,precision_tfm,95.47811150550842,True,Precision (%)
TweetyNet,1800.0,1,2000,precision_tfm,95.7053542137146,True,Precision (%)
TweetyNet,1800.0,2,2000,precision_tfm,95.73306441307068,True,Precision (%)
TweetyNet,1800.0,3,2000,precision_tfm,95.19700407981871,True,Precision (%)
TweetyNet,1800.0,4,2000,precision_tfm,95.04256844520567,True,Precision (%)
